company_name,domain_name,id,horizontal,technology_segment1,technology_segment2,technology_segment3,ml_segment_data1_ap4_t1,ml_segment_data2_ap4_t1,final_level_category,business_model,specialties,short_description,about_us
LendingPoint,lendingpoint.com,63068,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"consumer lending, financial services, home improvement, lending, personal finance",LendingPoint is a leading online direct loan provider.,"LendingPoint is a leading online direct loan provider, is committed to redefining who is able to access money at fair rates and empowering consumers to build financial momentum. LendingPointâ€™s award-winning leadership team holds intellectual patents for unique modeling of data and credit scoring. Committed to customer-centered excellence, the company is a Better Business Bureau accredited company."
ModernLend,modernlend.com,40952,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"consumer lending, credit cards, finance, financial services, fintech, lending",Online lender using alternative data metrics to lend to creditworthy international citizens,"ModernLend provides credit cards to international students and workers in the U.S. By understanding your education, employment and financial background, we can determine your creditworthiness without requiring SSN or FICO credit score. We will launch the first credit card tailored for international citizens in Summer 2016. 
We were founded at Wharton Business School, bring 10+ years experience from Goldman Sachs and Wells Fargo, and are Seed Stage funded. We are a portfolio company in Entrepreneurs Roundtable Accelerator and won BBVA Bankâ€™s Global FinTech Competition (out of 650 startups). Learn more at www.ModernLend.com."
KountMoney,kountmoney.com,62630,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"banking, financial services",KountMoney is a website where users can apply for loans for a variety of reasons.,KountMoney is an online platform that connects creditworthy borrowers across India to institutional lenders. The borrowers are salaried employees who are looking for unsecured loans at lower interest rate and quick disbursal.
CrowdOut Capital,crowdoutcapital.com,54967,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"banking, finance, marketplace",An online marketplace that connects accredited investors to middle-market debt.,#N/A
LoanNow,loannow.com,39942,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"consumer lending, finance, financial services, fintech, personal finance",Our mission is to help good people get better loans.,"Since launching in 2013, LoanNow has been helping people by bringing access, transparency and fairness to the subprime lending industry.  At the same time, we help our borrowers understand how to use credit, build a repayment history and credit file, and incentivize good borrower behavior.   Our mission is to help good people get better loans."
Jiedaibao,jiedaibao.com,112371,FinTech,Alternative Lending ,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative Lending -Consumer lending-Personal loans,"apps, mobile apps",Jiedaibao develops moblie applications for financial lending applications.,Jiedaibao is an Internet finance acquaintance lending platform.
Credibly,credibly.com,34240,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"finance, financial services, fintech, lending",Credibly is an emerging Fintech platform,"Credibly Formerly Known as RetailCapital. Credibly  is an emerging Fintech platform, leveraging Data Science and technology with a manic focus on the customer experience. We created our unique lending and capital platform in order to serve small and medium businesses as a trusted and committed partner."
Fig Loans,figloans.com,172242,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"credit, finance, financial services",Fig helps you through financial emergencies and build credit towards a better future.,"Fig partners with Family Houston to offer you a loan that is 80% cheaper and designed to get you out of debt.
Fig helps you through financial emergencies and build credit towards a better future."
CashBUS,cashbus.com,53409,FinTech,Alternative Lending ,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative Lending -Consumer lending-Personal loans,financial services,CashBUS is a microfinance company.,"CashBUS is a microfinance company, established in 2014 and headquartered in Shanghai, offering small short-term micro and installment loans for the underbanked in China"
Cumulus Funding,cumulusfunding.com,55073,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,finance,"Cumulus Funding provides funds to help you make purchases or pay down loans, credit cards or other bills.","Cumulus Funding is to invest in the American worker.  Many people in this country need access to funds for many different reasons. They recognize that in many cases, traditional banks and lenders are unwilling or unable to meet those individualsâ€™ needs.  When loans are available, they are made at terms that are extremely favorable to the banks â€” high and inflexible interest payments, multiple hidden fees and service charges, and often, a requirement that if you canâ€™t make your payments the bank can come and take your personal assets that were pledged as collateral."
Peerform,peerform.com,42614,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"finance, fintech, personal finance",Peerform is a peer-to-peer lending platform that connects lenders and borrowers for fixed-rate personal loans.,"Peerform is a peer-to-peer lending platform that connects people who want to borrow money with investors. Peerform provides 3-year terms personal loans ranging from $1,000 to $25,000: Borrowers create listings for a fixed-rate personal loan and are then funded by investors who chose their target return and build their portfolios. Peerform offers investors a new asset class with which they can diversify and optimize their portfolio. 
Peer-to-peer lending is an alternative to the banking system that provides better interest rates for borrowers along with better returns for investors, by eliminating intermediation between parties. 
Peerform was created by a solid team of professionals from financial services, strategy consulting, technology, and consumer products"
Prosper,prosper.com,99288,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"crowdfunding, finance, fintech, lending, personal finance","The first marketplace lender in the U.S, Prosper Marketplace helps people get on top of their finances.","Prosperâ€™s mission is to advance financial well-being. The companyâ€™s online lending platform connects people who want to borrow money with individuals and institutions that want to invest in consumer credit. Borrowers get access to affordable fixed-rate, fixed-term personal loans. Investors have the opportunity to earn solid returns via a data-driven underwriting model. 
To date, over $10 billion in personal loans have been originated through the Prosper platform for debt consolidation and large purchases such as home improvement projects, medical expenses and special occasions.
Prosper Marketplace, Inc. was founded in 2005 and is headquartered in San Francisco. The lending platform is owned by Prosper Funding LLC, a subsidiary of Prosper Marketplace, Inc. Loans originated through the Prosper marketplace are made by WebBank, member FDIC. Visit www.prosper.com and follow @Prosperloans to learn more. Prosper notes are offered by Prospectus."
Pave,pave.com,42500,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"finance, financial services, fintech, impact investing, personal finance",Pave provides Millennials with access to the funding they need to achieve their personal and financial goals,"Pave is a lending platform for millennials who want access to funding at fair rates from people who want to see them succeed. It helps them find the funds they need to achieve their personal and financial goals. Pave loans are based on potential for success rather than credit history and FICO score. It offers two-to-three-year consumer loans for education, refinancing, existing debt consolidation, starting a business, and covering living expenses. Borrowers are able to receive loans up to $25,000 with personalized rates starting at 6%. Pave is funded by a community that cares about providing the next generation with the tools they need to go ahead in life."
Licaifan,licaifan.com,39748,FinTech,Alternative Lending ,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative Lending -Commercial Lending-Term loans,"developer platform, e-commerce, finance, fintech",Licaifan is a Chinese online finance platform,"Licaifan is a Chinese online finance platform that offers P2B investments, loans, and other financial services to small- and medium-sized enterprises. Launched in March 2014, the company is headquartered in Beijing, China."
SunFunder,sunfunder.com,72721,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"crowdfunding, energy, finance, solar",SunFunder is a crowdfunding platform that connects investors to high-impact solar projects in off-grid communities around the world.,"SunFunder is a new crowdfunding platform for anyone to invest in high-impact solar projects, unlocking access to clean, affordable energy around the world. SunFunder solves the biggest problem facing solar businesses working to deploy affordable solar technology in off-grid markets: access to financing. SunFunder unlocks a big new source of capital for solar, individual investors who will be able to profitably invest in high quality, vetted projects, and then facilitates low-cost financing to solar businesses to fund their projects"
SsinoConnect,ssinoconnect.com.sg,72242,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"automotive, finance, peer to peer",SsinoConnect is a peer-to-peer car financing platform that connects potential car buyers in Indonesia with retail investors.,"SsinoConnect operates a peer-to-peer car financing platform that offers potential car buyers with smaller down payments and lower financing rates. The company analyzes credit risk and recovery and provides credit modelling, collateral tracking, and fraud management services to offer high recovery investments to potential retail investors and low down payments for customers looking to buy cars.
SsinoConnect was founded by Darrell Lee, Han Yue, Lai Heng Koh, Henry Lim, and Ajinkya Sadavarte in 2016. The company is based in Singapore."
YieldStreet,yieldstreet.com,49170,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"financial services, fintech, real estate investment, wealth management",YieldStreet is an innovative crowdfunding platform that connects investors to asset-based alternative investments,"YieldStreet provides access to asset based investments historically unavailable to most investors. With the mission of prosperity for all, YieldStreet allows investors to effortlessly participate in curated investments with low market correlation and high yield, across litigation finance, real estate and other alternative asset classes. We believe our technology platform creates a unique experience for investors at every level and provides valuable diversification and strength to most portfolios. Join the movement.
Please visit yieldstreet.com to explore our investment opportunities and learn more."
Fund That Flip,fundthatflip.com,36516,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"crowdfunding, fintech, real estate, real estate investment, residential",Accessible Real Estate Investing,"Fund That Flip is a U.S.-based technology platform that facilitates the financing of residential redevelopment projects. It provides basic screening and due diligence of each redeveloper and their projects before they are made available on its platform to accredited investors. Fund That Flipâ€™s investment product, Borrower Dependent Note, allows the platform to pool investorsâ€™ capital together while keeping the transaction straightforward for both redeveloper and investor. Founded in 2014, Fund That Flip uses its investments to further develop the technology and expand the platform, which helps real estate developers to provide new housing by modernizing distressed homes."
Propellr,propellr.com,43398,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"financial services, fintech, real estate","Propellr provides institutions, family offices & individuals w/direct access to alternative investments typically available to a select few.","Propellr, LLC provides small institutions, family offices and accredited investors with direct access to alternative investment opportunities typically only available to institutional investors. Powered by a user-friendly interface, Propellr curates high quality issuers, supplying them with innovative technology to market their opportunities directly to investors. 
Launched in 2013 by Todd Lippiatt, a respected pillar of the New York real estate finance community and Wall Street veteran, Propellr seeks to disrupt and redefine the antiquated constructs of his industry. With its growing team of impassioned minds, Propellr is in the process of rolling out multiple innovative alternative asset classes."
Tally Technologies,meettally.com,40512,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"credit cards, financial services, fintech, mobile apps",Tally solves problems that customers have managing multiple credit cards.,"Tally was founded in 2015 by a team of credit experts, engineers, and designers who believe in a better credit card experience for consumers. Tally is the first app to unbundle the credit card, putting power back into the hands of consumers. With Tally, consumers can use their credit cards without the unfair APRs, costly fees, and hassle of managing multiple cards. For more information, visit meettally.com."
i2ifunding,i2ifunding.com,60793,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"crowdfunding, finance, financial services",i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.,"i2i is a peer-to-peer (P2P) marketplace that connects borrowers with lenders. The unsecured loans can be used for gamut of reasons like purchase of consumer durable, debt consolidation (i.e. repayment of credit card debt etc.), medical expenses, education expenses, cash cycle optimization etc. The entire credit process is transparent, quick and easy. Apart from providing end to end services, i2i diligently uses unconventional data points of a borrower like education, employment, transactions, salary, social network etc and not just solely dependent on CIBIL score for lending recommendations. This helps an Investor in greater understanding of borrower's riskiness which leads to better credit decisions."
Weidai,weidai.com.cn,48690,FinTech,Alternative Lending ,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative Lending -Consumer lending-Personal loans,"financial services, lending, payments",China-based P2P lending platform.,"Weidai is an early stage personal credit system based in China. As a peer-to-peer lending service that uses vehicles as collateral, Weidai plans to expand to use property as collateral and provide personal loans as well."
Ascend Consumer Finance,ascendloan.com,51117,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"consumer research, credit, financial services","Through a proprietary process called Adaptive Risk Pricing, Ascend empowers consumers to prove their real-time creditworthiness","Through a proprietary process called Adaptive Risk Pricing, Ascend empowers consumers to prove their real-time creditworthiness"
Payoff,payoff.com,97964,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"financial services, fintech, payments, personal finance",Payoff makes loans to help people pay off credit card debt,Payoff is a financial wellness company that provides its members with personal loans. It develops products and services to support its members attain their targets by focusing on the connection between financial behavior and personality. The company partners with First Electronic Bank to originate loans for its clients. Payoff uses 256-bit encryption to protect its clientsâ€™ information such as bank account numbers and social security numbers from other parties. It offers fixed loan rates and loan amounts for its clients while charging a one-time origination fee for its service.
Taplend,taplend.com,46599,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"apps, credit, financial services","Taplend is a financial help platform, giving an access to fast, safe and 100% online loans,provided by people or financial institutions.","Taplend is a financial help service. With it people can get up to 2500 pounds in a few minutes, provided by friends or lending companies. 
The problem itâ€™s solving is fairly common for all of us â€“ situations when you need money urgently and can not get it â€œright nowâ€
Company was founded 1 year ago. Since that time  Taplendâ€™s team has achieved a lot â€“ has participated in three acceleration programs: Technation (USA/Kazakhstan), Hub:Raum by Deutsche Telekom(Poland) and SELLALAB(Italy) in collaboration with Level39(UK), the last one is still going on and finishes this december in London.
The mechanism of Taplend is quite a plain one: after the user downloads the application, he sets the desired amount of money and return terms, submits detailed information and sends a request via service to his friends or credit companies. 
After the request is accepted, it takes 2 minutes in average for the money to come to userâ€™s bank account or mobile wallet."
LQD Business Finance,lqdfinance.com,40088,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"finance, financial services, fintech, risk management","LQD Business Finance is a Chicago-based, technology-enabled company that provides small and medium sized businesses with structured loans.","LQD Business Finance is a Chicago-based, technology-enabled company that provides small and medium sized businesses with structured loans. The company develops a whole-business financing solution through a single loan product that meets all the aspects of a businessâ€™ financing requirements such as acquisition, working capital, purchase orders, and refinancing solutions. LQD Business Finance generates revenue as a percent of its clientsâ€™ loan amount. It evaluates the risk of each potential loan by using a proprietary risk management and backing software known as LQD Matrix."
Elevate Credit,elevate.com,56587,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"credit, financial services",Their innovative online credit solutions provide immediate relief to customers today and help them build a brighter financial future.,"Elevate's online credit solutions provides immediate relief to customers today and helps them build a brighter financial future. They are committed to rewarding borrowersâ€™ good financial behavior with features like lower interest rates, free financial training, and free credit monitoring."
Finova Financial,finovafinancial.com,57762,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,financial services,Fast affordable online loans based on the equity in your car,"Finova Financial is a socially responsible lender that provides fast affordable loans based on the equity in your car, to the 70 million financially underserved Americans that spend $138 billion in fees and interest annually. 
Finovaâ€™s Car Equity Line of Credit (C-LOC) costs 70% less than the current national average, provides instant access to capital, and a 12-month pathway back to financial health, online, mobile, anywhere, 24/7.
Finova clients benefit from the ability to complete the loan process online, instant approval decisions and same day cash funding. The Finova client portal provides personalized access to our financial dashboard allowing real time management of your financial health.  Payments can be made from the convenience of any computer or mobile device and at 32,000 US retail locations. Successful payment history provides declining rates, the opportunity to establish and build credit, along with access to additional funds on demand.
Finova provides an immediate solution to our clientsâ€™ credit needs, the ability to monitor their progress in real time, which when coupled with Finovaâ€™s ongoing financial education provides a pathway to improved economic health.
The Finova C-LOC is the first of many digital financial service products we will launch to address the unfulfilled needs of financially underserved Americans. 
At Finova we are in the business of relationships, not transactions. Our clients tell us Finova is the first positive relationship they have with any financial services provider. This is our passion and what drives us forward."
Fundation,fundation.com,36503,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"finance, fintech, lending",Fundation is an online direct lender offering simple interest small business loans to companies through a technology driven process.,"Banks offer business loans. Fundation offers business loans faster. 
Fundation is an alternative lender providing small business loans with fixed rates and simple interest. Our technology streamlines the small business loan application process by collecting third party data and automating the majority of the credit review process, so that we can deliver funds to you as quickly as possible.
As a leader in alternative business financing, we understand that every business has unique and specific needs. Fundationâ€™s customized small business loans ensure that you receive the most appropriate terms and payment options for your specific industry and companyâ€™s needs. We provide the following industry-specific small business funding solutions:
â€¢	Auto repair shop loans
â€¢	Gas station loans
â€¢	Day care center funding
â€¢	Medical practice loans
â€¢	Chiropractic business loans
â€¢	Dental practice loans
â€¢	Physician practice loans
â€¢	Veterinary practice financing
â€¢	Health care business loans
â€¢	Hotel and motel financing
â€¢	Restaurant loans
â€¢	Pharmacy loans
â€¢	Law firm financing
â€¢	Insurance agency financing
â€¢	Vineyard and brewery financing
â€¢	Liquor store financing
â€¢	Funeral home financing
â€¢	Self-storage financing
Whether you are in need of a business expansion loan, cash flow financing or a working capital loan, Fundation has a small business financing solution to help your company achieve its goals. We also offer inventory loans to help keep your business fully stocked and refinance loans that can help repay existing loans to acquire better terms or interest rates.
No matter how you use your alternative business loan from Fundation, you can expect support throughout the entire small business financing process. Our customer relationship managers work closely with you to understand your unique situation, find the best funding solution for your company and continue to support you in the long run to reach your goals. 
Contact Fundation for more information or to apply for your small business loan today!"
Selfscore,selfscore.com,44743,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"analytics, big data, credit, credit cards, finance, internet, machine learning",SelfScore is an analytics-based lending company providing access to financial products for a deserving but underserved population.,"SelfScore is developing a strong market niche around providing access to financial products (credit cards, student loans, etc) to a deserving but underserved population of international students (1M+ strong and growing with $31 billion in untapped annual spending). International students are routinely granted access to the US educational system and all the advantages it has to offer. However, no clear path exists for them to gain access to the credit markets. The current credit policies handicap them, leaving them unable to get a credit card, student loan or car lease without paying exorbitant costs/fees. We want to provide them with a financial on-ramp and put them on a path towards financial success in America.
 
Given their lack of credit history or credit score, (â€œthin file, no fileâ€) we evaluate these students using alternate data science and machine learning methods, such as our own SelfScore, which measures creditworthiness using our proprietary data science framework/algorithms. We determine studentsâ€™ ability to repay using such predictive attributes as education/major, cost of education, source of initial funding, future employability and objective measures (e.g. places, times, graphs) using our framework. We also determine their propensity to stay/leave the country using these attributes. Our compliance framework takes into consideration various federal regulatory constraints concerning KYC/CIP, Fair Lending, CDR, ECOA and FCRA. Seizing this 1M international student market will set the foundation for future product or market expansions into other thin file populations."
WeLab,welab.co,48697,FinTech,Alternative Lending ,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative Lending -Consumer lending-Personal loans,"finance, fintech, lending, personal finance",WeLab analyzes unstructured mobile big data within seconds to make credit decisions for individual borrowers.,"Founded in 2013 in Hong Kong, WeLab is reinventing traditional financial services by creating seamless mobile lending experiences. With its proprietary risk management technology, WeLab effectively analyzes unstructured mobile big data within seconds to make credit decisions for individual borrowers. WeLab operates Wolaidai (æˆ‘æ¥è´·), one of Chinaâ€™s leading mobile lending platforms, and WeLend, Hong Kongâ€™s leading online lending platform. The company also partners with traditional financial institutions which utilize WeLabâ€™s technology to offer fintech-enabled solutions to their customers. 
WeLabâ€™s investors include CK Hutchisonâ€™s TOM Group, Khazanah Nasional Berhad, ING, Silicon Valley-based venture capital fund Sequoia Capital, TOM Groupâ€™s Ule.com and Guangdong Technology Financial Group. According to KPMG and CB Insights, the fundraising was the fourth largest fintech deal in the first quarter of 2016 globally."
Firstp2p,firstp2p.com,57791,FinTech,Alternative Lending ,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative Lending -Commercial Lending-Term loans,"financial services, online auctions, peer to peer",Firstp2p is a Chinese online peer-to-peer (P2P) financing site,First P2P Limited is an online finance marketplace which matches borrowers with investors. The company is based in China.
Medmonk,medmonk.com,64428,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,health care,Helps pharmacists obtain funding for patients who cannot afford their out-of-pocket pharmaceutical expenses.,"Medmonk is based on the premise that it's in everyone's best interest for medications to be used regardless of price. Patients get the care and medications they need, insurers are protected against larger claims, and pharmaceutical companies and pharmacies get maximum use of their medications. Co-founder Somaira Punjwani, an HIV specialty pharmacist, had to invent a process as an alternative to turning away patients who struggled with their co-pay. She did this manually for over three years with overwhelming positive feedback from grateful patients who could now afford their medications."
Finrise,finrise.com,57764,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"financial services, health care, service industry","Finrise provides a financing option for treatments and services that are not covered by insurance, directly in the doctor's office.","The Finrise mission is to increase the accessibility of quality healthcare through a suite of transparent financial products, starting with patients of dental, vision, audiology and veterinary services.
Patients deserve better, which is why weâ€™re committed to putting patient empowerment and customer service at the forefront of healthcare lending. Every day, patients receive instant and transparent term loans right in the doctor's office onto their phones. To expand reach, Finrise looks beyond simple FICO scores, which were created over 30 years ago in an era before smartphones and internet access.
Finrise empowers doctors to treat without the limitation of affordability. By combining care, coverage, and change, weâ€™re building a solution that doctors prefer for their patients."
Lendio,lendio.com,92860,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"finance, financial services, fintech, lending",Lendio is a platform that helps small business owners find lenders and secure loans.,"Lendio operates an online marketplace that enables small business owners find lenders and secure loans. After filling out an application form, the platform matches its customers with suitable loan options. It works with a network of over 50 lenders to enable its users to compare and choose from among a range of loans, including SBA, startup, equipment, commercial real estate, and more. It also offers loan calculators, an informative blog and educative resources. Launched in March 2006, Lendio is based in South Jordan, Utah."
China Rapid Finance,chinarapidfinance.com,82870,FinTech,Alternative Lending ,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative Lending -Consumer lending-Personal loans,"artificial intelligence, big data, fintech, internet, marketplace, predictive analytics",China Rapid Finance is Chinaâ€™s largest online consumer lending marketplace serving online users and Chinaâ€™s emerging middle class.,"China Rapid Finance is Chinaâ€™s largest online consumer lending marketplace serving online users and Chinaâ€™s emerging middle class. The Company provides consumer credit access to the worldâ€™s largest untapped market, expected to grow to more than RMB 5.4 trillion (US $870 billion) by 2020.  Its technology enables socially inclusive financing to the most creditworthy individuals, serving a potential 500 million consumers who are economically active but never have had access to bank credit. China Rapid Finance is a recognized technology innovator and has transformed Chinaâ€™s consumer credit landscape with its introduction of the most advanced omni-channel borrower acquisition system and proprietary Big Data analytics technology platform featuring an end-to-end automated credit decisioning system.  It has a proven track record in credit risk management, transparency and a culture focused on innovation with more than 5,000 employees and 80 data verification centers across China. 
 
China Rapid Finance was founded in 2001 by Mr. Zane Wang, PhD, one of Chinaâ€™s leading experts in consumer credit market innovation and lending marketplace technology. Prior to founding China Rapid Finance, Dr. Wang received his PhD in Statistics from the University of Illinois at Chicago and started his career in the United States, serving as Head of Analytics for Sears Credit â€“ the worldâ€™s largest retail credit card portfolio, subsequently acquired by Citibank. Upon returning to China, Dr. Wang advised the Peopleâ€™s Bank of China on the creation of Chinaâ€™s national credit bureau and the first functioning credit bureau in Shanghai before launching China Rapid Finance. Dr. Wang also is the only Council Committee member of the China Association of Microfinance from the marketplace lending industry, and the Secretary of the Shanghai Financial Information Professional Committee, a branch of the Shanghai government trade association.  
China Rapid Finance's home page is www.chinarapidfinance.com."
"LiftForward, Inc.",liftforward.com,63240,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"credit, financial services, marketplace",LiftForward operates a marketplace loan platform which provides loans to small businesses.,"LiftForward operates a marketplace loan platform which provides loans to small businesses and high yielding debt products to investors.  Businesses are able to borrow up to $1,000,000 per transaction for asset purchases, purchase order financing, or working capital.   LiftForward partners with suppliers, retailers and manufacturers in order to provide financing to their small business customers.  LiftForward partnerships include both co-branded and white-labeled portals."
LendingHome,lendinghome.com,63066,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"financial services, marketplace, real estate","LendingHome offers a flexible, simple, fast, transparent, and reliable way for borrowers to get a mortgage.","""What if Silicon Valley reimagined the mortgage process from the ground up, the right way?""
We asked ourselves this very question in late 2013 and realized mortgage was broken. It was hard to believe that an industry so massive and vitally important to the economy could continue to function with virtually no innovation.
We decided to fix it. LendingHome was born.
We brought together the best technology, operations, and data to build the next generation mortgage platform. This meant rethinking customer acquisition, user experience, credit analysis, algorithmic underwriting, operational efficiency, loan servicing, capital markets, financial automation, consumer brand, and more.
Fundamentally, we believe a technology-enabled marketplace that brings together borrowers and investors is the future of mortgage. By combining our platform with a world-class entrepreneurial team, we've made that future a reality.
Welcome to LendingHome."
IndiaLends,indialends.com,38373,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"financial services, fintech",IndiaLends is a digital lending and borrowing marketplace.,"IndiaLends is digital lending and borrowing marketplace that connects consumers and small businesses looking for low rate loans with institutional lenders looking for good returns. Available on both the web and mobile, the company also provides value-add services such as big-data analytics, credit risk assessment and verification, and automated work-flows for loan origination and management to lenders while borrowers can apply for unsecured personal loans online, get access to their credit reports for free and manage their daily spends via the IndiaLends Mobile App. Launched in 2015, the company is based in New Delhi, India."
MoneyLion,moneylion.com,41024,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"credit, financial services, fintech",MoneyLion is using big data to revolutionize consumer lending and help people achieve financial wellness.,"MoneyLion is a leading mobile personal finance and consumer lending platform that empowers consumers to take control of their financial lives through free spending, saving and credit tracking tools, and smarter credit products. 
Founded in 2013 by a team of leading technologists and financiers, MoneyLion uses superior analytics and machine learning-based risk technology to gain a 360-degree view of its usersâ€™ personal finances, enabling better underwriting and the development of tailored financial product offers. With its built-in system of referrals, points and rewards, MoneyLion endorses good financial behavior. 
MoneyLion is headquartered in New York with offices in San Francisco and Kuala Lumpur, Malaysia. For more information, visit www.moneylion.com or download the app at  https://bnc.lt/E1yh/DNjAQCAwrD."
Faircent,faircent.com,57434,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"banking, financial services, lending",Faircent.com is a website where borrowers and lenders connect directly.,"Faircent helps in eliminating the high margins which intermediaries like banks and financial institutions make on our transactions. Banks have massive overheads, with thousands of employees to pay and hundreds of branches to maintain. Banks must take large margins on the money that passes through them. Whereas at Faircent.com people who have spare money lend it directly to people who want to borrow. There are no banks in the middle, no huge overheads"
OnDeck,ondeck.com,97076,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"credit, finance, financial services, small and medium businesses",Ondeck is a technology-enabled financial platform that provides loan financing to small- and medium-sized businesses.,"Ondeck is a technology-enabled financial platform that provides loan financing to small- and medium-sized businesses. The company uses proprietary software to aggregate data about a businessâ€™ operations which is processed by an algorithm that determines loan eligibility.
OnDeck was founded in 2006 and is based in New York City, United States."
Rupaiya Exchange,rupaiyaexchange.com,70072,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,financial services,Rupaiya Exchange is a peer-to-peer lending platform,Rupaiya Exchange is a leading Peer to Peer (P2P) lending marketplace. They facilitate lending by connecting creditworthy borrowers to lenders across India.
ApplePie Capital,applepiecapital.com,50859,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"finance, financial services, marketplace",Alternative financing platform for franchise businesses,ApplePie Capital is a marketplace lender that provides a fresh new approach to franchise financing. The firmâ€™s franchise loan marketplace enables entrepreneurs to efficiently obtain financing to start or expand their franchise business. ApplePie Capital enables investors to earn attractive fixed-income returns with established franchise brands they know and trust.
