company_name,domain_name,id,horizontal,technology_segment1,technology_segment2,technology_segment3,ml_segment_data1_ap4_t1,ml_segment_data2_ap4_t1,business_model,specialties,short_description,about_us
"321Lend, Inc.",321lend.com,30791,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Alternative lending-Consumer lending-Personal loans,"fintech, personal finance, venture capital","321Lend, Inc. was formed in early 2014 in San Francisco, CA by three experienced professionals in finance, technology and management.","321Lend, Inc. was formed in early 2014 in San Francisco, CA by three experienced professionals in finance, technology and management consulting. All founders are graduates of UC Berkeley and have worked at hedge funds, start-ups, technology and consulting firms. The goal of 321Lend is to build an online financial community that connects creditworthy borrowers with savvy investors in order to facilitate better lending rates and lower loan default rates by continuously innovating its web application and business strategies.  The Company has made significant progress with building its platform and laying the foundation to launch its business. The Company is currently near completion and with funding, will be able to operate as a peer to peer lending platform.  
Though the Peer-to-Peer lending industry is one of the fastest growing industry  in the US estimated to be about $5B with CAGR of 100%+, it still covers only 1% of total credit card market of $669B.
Since 321Lend is founded in March 2014, the company achieved the following:
- Completed the front end of its website to attract potential borrowers and lenders 
- Near completion of its back end platform to automate transactions
- Built its proprietary interest rating model
- Prepared compliance documents such as FCRA, FDCA, TILA, ECOA, and others
- Secured relationship with banking partner to originate loans
- Final discussion with credit rating agency
Front end of website is launched at (http://www.321lend.com) and it is receiving numerous inquires from both lenders and borrowers."
finrek solutions private limited,finrek.com,57763,FinTech,Alternative lending,Lead generation platform,0,Lead generation platform,Others,Alternative lending-Lead generation platform-0,"credit, financial services, marketplace",finrek solutions is an online loan marketplace that matches lenders and borrowers based on their preferences.,"finrek solutions private limited is an online loan marketplace that provides its users with a hybrid online-offline model. It matches lenders and borrowers based on their preferences.
finrek solutions private limited was launched in 2014 and is based in Jaipur, Rajasthan."
Visio Financial Services,visiolending.com,75687,FinTech,Alternative lending,Consumer lending,Mortgages,Others,Mortgages,Alternative lending-Consumer lending-Mortgages,"finance, lending, marketplace, real estate, real estate investment","A national mortgage lender focused on the needs of experienced, locally expert residential investors","Simply put, we thrive on real estate. Together with our parent company, Econohomes, weâ€™ve bought, sold, or financed over $240 million of homes nationwide. Unlike other lenders, we know what it is like to have skin in the game. We understand the unique needs of residential investors. Drawing on years of experience in the distressed property field, we crafted our loan products with four words in mind: fast, simple, flexible, and dependable.
We know real estate investing takes a certain amount of initiative, spirit, and risk-taking. Itâ€™s not for everyone. But weâ€™re passionate about helping people just like you achieve their short-term and long-term investment goals. Itâ€™s the reason we started VFS four years ago. We now operate in 36 states and continue to grow. Your success is our success."
GradSchoolLoans,gradschoolloans.com,59578,FinTech,Alternative lending,Consumer lending,Education Loans ,Others,Education Loans ,Alternative lending-Consumer lending-Education Loans ,"education, finance, financial services",A platform that refinances medical school student loans - helping borrowers reduce the burden of their student loan debt,"We are a FinTech marketplace lender that provides a platform to refinance medical school student loans - helping borrowers reduce the burden of their student loan debt. Simply put, we acquire leads, convert them to loans, and sell the loans to investors or to community banks who are struggling to generate organic loan volume. We partner with leading student loan origination and servicing companies to provide back-end platform support. We also contract with a federally charted bank to act as our lender of record, allowing us to lend in all 50 states.
Our product saves borrowers and average of $22,000, allows them to defer their loan payments while in their training program, and also simplifies their lives by consolidating their many loans into one new loan."
EVEN Financial,evenfinancial.com,57108,FinTech,Alternative lending,Lead generation platform,0,Lead generation platform,Others,Alternative lending-Lead generation platform-0,financial services,EVEN Financial is a Supply Side Platform (SSP) for Marketplace Lending based in New York City.,"EVEN Financial is a supply side platform for the fast growing Marketplace Lending (P2P) market, with an initial mission of bringing more and better quality borrowers into the Marketplace Lending ecosystem. We believe strongly that there is a loan product for everyone, and that as Marketplace Lending grows, better data can help lenders see borrowers as more than just their credit score."
lantouzi.com,lantouzi.com,39557,FinTech,Alternative Lending ,Commercial Lending,Term loans,Term loans,Others,Alternative Lending -Commercial Lending-Term loans,"banking, financial services, security",lantouzi.com offers security investment banking platform for Internet companies and financial institutions.,"Lantouzi.com is an online investment banking platform that helps small- and medium-sized enterprises fulfill their business financing needs. It was launched in 2014 and is based in Beijing, China."
I-Bankers Direct,ibankers.com,60816,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Alternative lending-Commercial Lending-Term loans,"banking, financial services, wealth management",Online Access to Curated Investment Opportunities in Growth-stage Companies,I-Bankers Direct operates an online equity & debt funding platform (www.ibankers.com) that allows individual investors and institutions to access proprietary investment opportunities in a curated selection of private and public emerging-growth companies.
Trusting Social Co.,trustingsocial.com,47541,FinTech,Alternative lending,Credit rating platforms,0,Others,Credit rating platforms,Alternative lending-Credit rating platforms-0,"analytics, big data, identity management, social media","Trusting Social builds the next generation of credit score based on social data, to make lending faster, cheaper and friendlier.","Trusting Social provides consumer credit score based on social, web and mobile data. Their solution enables lenders in emerging markets to lend to billions of â€œfinancially invisibleâ€ consumers who  are  not covered  by  credit  bureaus.  It  was  tested  and  proven  to  be more  accurate,  faster  and cheaper than existing solutions."
CAN Capital,cancapital.com,82084,FinTech,Alternative lending,Commercial Lending,Working Capital ,Working Capital ,Others,Alternative lending-Commercial Lending-Working Capital ,"commercial lending, finance, financial services, fintech","CAN Capital provides capital to small and medium-sized businesses, using its own real-time platform and risk-scoring models.","CAN Capital provides capital to small and medium-sized businesses, using its own real-time platform and risk-scoring models.
Its Daily Remittance Platform allows lenders to access the daily cash flows of borrowers, and collect daily remittances from them. The platform gives lenders a window into their customersâ€™ daily business, and relies on payment processors to split the settlement of card transactions between the small business and its bank.
CAN Capital, Inc. was formerly known as Capital Access Network, Inc. and changed its name to CAN Capital, Inc. in December 2013. The company was founded in 1998 and is based in New York, United States."
PPDai,ppdai.com,98899,FinTech,Alternative Lending ,Commercial Lending,Term loans,Term loans,Others,Alternative Lending -Commercial Lending-Term loans,"finance, fintech, peer to peer",PPDAI is an online platform for peer-to-peer small unsecured loans in China.,"PPDAI is an online platform for peer-to-peer small unsecured loans in China. It builds a safe, high-performance, honest network platform with creative technology and ideals. PPDAI standardizes personal behaviors of debit and credit, and brings returns to both lenders and borrowers.
PPDAI was founded in August 2007 by founders from well known companies."
AssetAvenue,assetavenue.com,51171,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Alternative lending-Commercial Lending-Term loans,"e-commerce, marketplace, real estate",AssetAvenue is an online lender for real estate investment properties,"AssetAvenue is a Los Angeles-based online lender that is using technology to improve the way people borrow money for real estate investment properties. Our innovative online platform and proprietary data models enable us to deliver new benchmarks for speed, transparency and flexibility that traditional banks can't compete with.  We can fund loans with institutional capital in a matter of days. 
AssetAvenue is backed by some of the world's leading VC firms, including DCM Ventures, Matrix Partners and NetEase Capital. We were named one of the top 10 lending start-ups to watch in 2014 and have been featured in numerous publications including the Wall Street Journal, Entrepreneur, Inc and Forbes."
Patch of Land,patchofland.com,67423,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Alternative lending-Commercial Lending-Term loans,"crowdfunding, finance, fintech, internet, lending, real estate",PofLand is a crowdfunding solution for real estate financing that brings together borrowers and lenders through a simple online interface,"Patch of Land is a real estate marketplace lender that uses proprietary technology and data to provide transparent, scalable, and efficient lending solutions. Patch of Land offers borrowers access to reliable capital for residential and commercial real estate projects, while providing investors easy diversification into real estate with low minimums and a best-in-class secured loan structure."
Rongzi.com,rongzi.com,69925,FinTech,Alternative Lending ,Commercial Lending,Term loans,Term loans,Others,Alternative Lending -Commercial Lending-Term loans,"finance, financial services, small and medium businesses",Rongzi enables offline financial institutions to provide loans,"Founded in 2010, Shanghai-headquartered Rongzi enables offline financial institutions to provide loans for small and medium-sized enterprises."
ArgonCredit,argoncredit.com,31821,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Alternative lending-Consumer lending-Personal loans,"analytics, consumer lending, finance, financial services, fintech, innovation management, machine learning, personal finance","Argon Credit is a online personal loan startup. Currently growing in the U.S. with plans to expand into the U.K., Europe and Australia.","Based in Chicago, Illinois, Argon Credit is a decision engine-based lending platform for prime and near-prime borrowers seeking immediate access to online personal loans. The platform leverages proprietary algorithms and data analytics to comb down a vast array of prospective-borrow attributes in real time to approve or disapprove loan applications. Argon Credit was founded in December 2013."
Splitit,splitit.com,103026,FinTech,Alternative lending,Consumer lending,Purchase Financing ,Purchase Financing ,Others,Alternative lending-Consumer lending-Purchase Financing ,"credit, finance, financial services",Splitit is a credit-based payment system that enables merchants to offer interest free monthly installment payments to their customers.,"Splititâ€™s patented technology is revolutionizing the retail world by enabling seamless installment payments for businesses of all sizes and type. Our solution promotes growth for eCommerce as well as in-store retail, and includes e-Wallet capabilities"
Acquire Real Estate,acquirerealestate.com,49921,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Alternative lending-Commercial Lending-Term loans,"commercial real estate, crowdfunding, real estate",Acquire is a real estate crowdfunding platform for Accredited Investors. It pre-funds and co-invests solely in institutional-quality deals.,"Acquire Real Estate is a leading real estate crowdfunding platform and one of the only platforms to pre-fund its deals. Acquire focuses on cash-flowing, institutional-quality real estate deals and co-invests in every property right alongside its Members. Learn more at www.acquirerealestate.com."
Milaap,milaap.org,64768,FinTech,Alternative lending,Consumer lending,Micro Finance ,Others,Micro Finance ,Alternative lending-Consumer lending-Micro Finance ,"crowdfunding, education, enterprise software, finance",India's largest crowdfunding platform,"Milaap is India's leading crowdfunding platform for personal and social causes. Raise money for personal causes, emergencies, loved ones, neighbourhood projects and social causes. Over $12 Million raised for 50,000+ projects across India."
PrimaHealth Credit,primahealthcredit.com,43291,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Alternative lending-Consumer lending-Personal loans,"cloud management, finance, fintech, health care, payments",PrimaHealth Credit is reinventing patient finance with a cloud-based payment management and finance platform.,"PrimaHealth Credit is reinventing how patients pay for out-of-pocket healthcare expenses by empowering healthcare providers with a cloud-based payment management and finance platform that enables them to offer payment solutions at the point-of-care. Today, healthcare providers are lacking modern, intuitive, point-of-sale payment and finance solutions, and patients are seeking transparent financial products to help pay for out-of-pocket healthcare expenses. PrimaHealth Credit offers smarter, simpler, and more transparent payment solutions that patients love and doctors value."
Loanbase,loanbase.com,39937,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Alternative lending-Commercial Lending-Term loans,"bitcoin, consumer lending, financial services, fintech",Leveraging blockchain technology in order to provide small businesses loans in emerging markets.,"Loanbase is the biggest global lending marketplace which uses blockchain technology. Our platform provides small businesses in emerging markets with access to capital at affordable rates from lenders across the globe. Small businesses have had disproportionately limited access to capital, yet they're fundamental drivers of the economy. Loanbase leverages blockchain technology in order to bring financial innovation to the small businesses in emerging markets."
Puddle,puddle.com,43460,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Alternative lending-Consumer lending-Personal loans,"advertising, e-commerce, social media management",Puddle is a social peer-to-peer lending marketplace. Puddle lets anyone create a line of credit on-the-fly with their friends.,"Puddle is the first tool for credit in the US that anyone can use â€“ not based on your credit score, but based on people that trust you."
Tremus,selfscore.com,44743,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Alternative lending-Consumer lending-Personal loans,"manufacturing, medical, sporting goods",Tremus is a sports technical and medical protective wear for athletes.,Tremus Inc d/b/a SelfScore provides international student credit cards and other financial products to international students studying in the United States. Selfscore measures creditworthiness using alternative data and methods via their proprietary framework and algorithms.
LSQ,lsq.com,93432,FinTech,Alternative lending,Commercial Lending,Working Capital ,Working Capital ,Others,Alternative lending-Commercial Lending-Working Capital ,"finance, financial services","LSQ is the leading invoice finance platform in the U.S. Access $5,000 - $50 million in working capital with the click of a button.","LSQ is the leading invoice finance platform in the U.S. We give entrepreneurs the power to access $5,000 - $50 million in affordable working capital with the click of a button.
Through our platform, businesses can upload unpaid invoices and get their money instantly without having to wait 30, 60, 90 or more days to get paid by customers. By freeing their cash trapped in open invoices, business owners can get the financing they need to grow and keep moving forward without having to take out a loan.
Founded in 1996, weâ€™ve delivered over $10 billion in funding to thousands of businesses across the nation. Weâ€™re profitable, expanding rapidly between our Orlando (HQ), New York, and San Francisco offices and recently raised $110 million in venture capital."
RealtyMogul.com,realtymogul.com,43881,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Alternative lending-Commercial Lending-Term loans,"fintech, marketplace, real estate, real estate investment","We're an online marketplace for real estate investing, connecting borrowers and sponsors to individual and institutional investors.","RealtyMogul.com is an online marketplace for real estate investing, connecting borrowers and sponsors to capital from accredited and institutional investors.  Through an online platform, RealtyMogul.com gives borrowers access to debt capital, sponsors access to equity capital and investors tools to browse investments, do due diligence and invest online.  RealtyMogul.com offers bridge and permanent loans and joint venture equity.
With over 80,000 registered investors calling themselves RealtyMogul.com members, our devoted community has invested over $200 million in over 350 properties, valued at over $800 million. And for their efforts they have received millions in distributions.
For accredited and institutional investors looking to diversify their portfolio, RealtyMogul.com offers a fast, easy, frictionless platform that serves as a 21st century bridge connecting them to previously inaccessible investment opportunities.
And for both real estate investment sponsors looking to raise joint venture equity and borrowers looking for flexible debt, RealtyMogul.com provides access to equity and debt that would likely take several months to secure through more traditional means (and by â€œtraditionalâ€, we mean â€œslowâ€ and â€œrestrictiveâ€)
So whether you are an accredited or institutional investor wanting to diversify your portfolio across real estate asset classes, a borrower in search of a flexible loan, or a real estate investment sponsor looking to raise joint venture equity, join Realty Mogul today to take your real estate investing into the 21st century."
CircleBack Lending,circlebacklending.com,53808,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Alternative lending-Consumer lending-Personal loans,"finance, financial services, impact investing",CircleBack Lending is an internet-based credit platform for purchasing fixed income assets backed by consumer credit products.,"CircleBack Lending is an Internet-based consumer lending platform with a two-part mission. First, it aims to provide prime and super-prime consumers in the United States a fast and efficient way to borrow money at attractive interest rates. Second, it offers institutional and high-net-worth individual investors a robust, transparent platform to invest in these consumer loans.
The Internet has already become the primary place for individuals to manage their personal finances. CircleBack Lending believes this trend will continue, especially as more traditional banks and lending institutions maintain extremely tight credit policies, even for credit-worthy borrowers. It also believes that professional investors will continue to deploy capital into consumer credit to diversify their portfolios beyond traditional stocks and bonds."
Marlette Funding,marlettefunding.com,40340,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Alternative lending-Consumer lending-Personal loans,"financial services, fintech, lending",Marlette Funding is a financial tech company tasked to empower customers,"Marlette Funding is reinventing outdated, slow and confusing financial products and services. And our customers, and partners, couldn't be happier."
Dealstruck,dealstruck.com,55386,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Alternative lending-Commercial Lending-Term loans,"finance, financial services, local business, marketplace",Dealstruck is the best place for small businesses to finance growth.,"The Dealstruck lending marketplace connects profitable, small- and medium-sized businesses with individual and institutional accredited investors. Unlike the one-size-fits-all approach offered to them by banks and the high-cost, short-term credit offered to them by alternative lenders, Dealstruck provides more patient growth capital that allows businesses time to plan and execute for maximum success. Dealstruck is the first to combine thorough credit screening on business borrowers and to allow investors the freedom to choose specific investments so they can build a customized portfolio that meets their own preferences on risk, return, industry and size."
InvestNextDoor,investnextdoor.com,61542,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Alternative lending-Commercial Lending-Term loans,"crowdfunding, small and medium businesses",Our mission is to lead communities through a capital transformation.,"Our mission is to lead communities through a capital transformation.  InvestNextDoor has created the first community-engaged capital marketplace. Our marketplace creates a new source of reasonably priced capital for small businesses, better returns for Main Street investors and longevity for community-based banks and credit unions.  
Focusing on communities first amplifies the economic effects of consumer investment in small businesses by keeping more of the benefits of the borrowing lifecycle within a given community.  Education, access, transparency and fairness are our core values.
We started InvestNextDoor because we believe that for most of us, borrowing and investing models are broken.  We've hit the reset button and started fresh.  By going back to basics we've more than made it better, we've made it social and fun and impactful.
We're a brand new kind of financial services company, and we've already made things better."
SMECorner.com,smecorner.com,175402,FinTech,Alternative lending,Lead generation platform,0,Lead generation platform,Others,Alternative lending-Lead generation platform-0,"banking, finance, financial services",SMEcorner is an online platform that enables SMEs to access loans easily from Banks and NBFCs,"SMEcorner is an online platform that enables small and medium enterprises to access loans from banks and NBFCs. 
SMECorner.com was founded by Samir Bhatia and Sneha Shah, and is based in Mumbai, Maharashtra."
Drip Capital,dripcapital.com,35073,FinTech,Alternative lending,Commercial Lending,Working Capital ,Working Capital ,Others,Alternative lending-Commercial Lending-Working Capital ,"financial services, fintech",Drip Capital offers a unique trade financing product targeted towards SMEs in developing markets,"Drip Capital offers a unique trade financing product targeted towards SMEs in developing markets. Our comprehensive and automated risk assessment model allows rapidly growing SMEs quick and easy access to finance. With a focus on technology, Drip aims to eliminate the hassle of paperwork and bureaucracy and create a seamless borrowing experience for its clients.
Drip consists of a team of highly qualified financial consultants, engineers and analysts from Wharton, Stanford, and IITs with years of experience at Standard Chartered, Black Rock and Yahoo. We are backed by leading Silicon Valley investors - Y Combinator and StartX. We are always eager to connect with sharp minds to grow with in our quest to becoming the future of global trade finance."
RateGator,rategator.com,69177,FinTech,Alternative lending,Consumer lending,Mortgages,Others,Mortgages,Alternative lending-Consumer lending-Mortgages,finance,"RateGator is an online mortgage marketplace where borrowers, not banks, set the rates that they are willing to pay for their home loan.","RateGator is the leading mortgage marketplace on mobile and the Web where users can easily connect with reputable lenders who meet their needs, and negotiate the lowest possible interest rate through the RateGator bidding platform."
Fundera,fundera.com,58473,FinTech,Alternative lending,Lead generation platform,0,Lead generation platform,Others,Alternative lending-Lead generation platform-0,"financial services, internet, lending",Small Business Owner's Best Friend,"Fundera is the place small business owners go when they need funding to grow their business. Free, easy, fast, and honest in an industry known for only the opposite, Fundera strives to break the mold.
Our universal application and marketplace model let business owners skip that â€œfeeling lostâ€ moment and focus on what really mattersâ€”building their business.  
With one simple application, small business owners can apply to the industryâ€™s leading lenders, letting them compare rates across all different kinds of loans.
We're always hiring intelligent, invested, passionate people to join our team. Check us out at fundera.com/jobs!"
SimplyCredit,simplycreditinc.com,45164,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Alternative lending-Consumer lending-Personal loans,"financial services, machine learning, personal finance","At SimplyCredit, our mission is to transform consumer lending as it is known today.","At SimplyCredit, our mission is to transform consumer lending as it is known today. We believe in doing right by the consumer: no fees, no penalty pricing, no gotchas, and no fine print. We want to bring sanity back to lending, stand behind our underwriting, and make sure consumers are getting the value and service they deserve. Using advanced technologies, we are creating credit and lending innovations in line with these values, all delivered through seamless customer experience."
DriverUp,driverup.com,35085,FinTech,Alternative lending,Consumer lending,Auto Loans ,Others,Auto Loans ,Alternative lending-Consumer lending-Auto Loans ,"business development, financial services, fintech, lending, marketplace",DriverUp is the first online auto lending marketplace for accredited investors.,"DriverUp is an online marketplace that offers automotive financing services. The platform utilizes proprietary technology to create a direct-to-investor option for its users. Integrated with software and advanced data analytics, the marketplace enables efficient processing and direct investment in auto loans, with full transparency and reporting. It is also the first mechanism that offers accredited investors such as hedge funds, family offices, and high net-worth individuals an opportunity to participate directly in high-yield auto lending. Launched in 2012, the marketplace is operated from Dallas, Texas."
Avant,avant.com,80143,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Alternative lending-Consumer lending-Personal loans,"consumer lending, finance, financial services, fintech, lending","Changing the way you borrow with safer, faster, better financial products","Avant operates an online marketplace that provides users with access to personal loans to consolidate debt, pay unexpected medical expenses, and for family vacations. Through the use of big data and machine-learning algorithms, the company offers a customized approach to streamline credit options. The company caters to consumers in the United States and the United Kingdom. Headquartered in Chicago, Illinois, Avant was founded in November 2012."
Kaixindai,gkkxd.com,37123,FinTech,Alternative Lending ,Commercial Lending,Working Capital ,Working Capital ,Others,Alternative Lending -Commercial Lending-Working Capital ,"consumer lending, financial services, fintech, payments",Kaixindai is a P2P lending platform,"Kaixindai is a peer-to-peer lending platform that provides network investment and financing services for its clients. Founded in 2012, the company is based in Nanjing, Jiangsu."
SunUp Financial (Balance Credit),balancecredit.com,51616,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Alternative lending-Consumer lending-Personal loans,"banking, credit, finance",Balance Credit was built for when things donâ€™t go according to plan.,"Balance Credit is an online lender that provides families and individuals with personal installment loans and credit services. It offers clear rates and terms, toll-free customer support, and the ability to pay off early with no penalties, at any time.
Balance Credit is licensed and regulated in each U.S. state where it operates. It was founded in 2013 and is based in Irving, Texas."
Fora Financial,forafinancial.com,87812,FinTech,Alternative lending,Commercial Lending,Working Capital ,Working Capital ,Others,Alternative lending-Commercial Lending-Working Capital ,"finance, fintech",Fora Financial provides financial services to businesses including merchant funding and small business loans.,"Fora Financial provides flexible, working capital solutions to small businesses in need of financing to sustain or grow their enterprise. 
Meaning marketplace and forum in Latin, Fora aims to foster a community and act as an extension of its clientsâ€™ and partnersâ€™ businesses to provide financial solutions and industry insight to ensure growth and success. 
Founded in 2008 and built upon trust and transparency, the company has supported the small business community, which has been historically underserved by lenders. Fora Financial has since grown into a competitive financing leader and offers one of the most extensive offerings of services in the industry. 
The managing partners and many of its employees come from a small business background, fueling their passion to spur short- and long-term growth in the segment. Possessing an in-depth knowledge of many vertical industries from food and beverage to healthcare and technology to retail, Fora Financial prides itself on the ability to support any small business owner or related financial partner.  
With a goal of making the financing process more transparent and efficient, Fora Financial utilizes time-proven tools and solutions to provide its customers and industry partners with the most innovative funding solutions. The company operates through a consultative approach, listening to customersâ€™ needs and providing a customized solution to best meet those needs in an ever-changing financial market."
LendingPoint,lendingpoint.com,63068,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Alternative lending-Consumer lending-Personal loans,"consumer lending, financial services, home improvement, lending, personal finance",LendingPoint is a leading online direct loan provider.,"LendingPoint is a leading online direct loan provider, is committed to redefining who is able to access money at fair rates and empowering consumers to build financial momentum. LendingPointâ€™s award-winning leadership team holds intellectual patents for unique modeling of data and credit scoring. Committed to customer-centered excellence, the company is a Better Business Bureau accredited company."
Skills Fund,skills.fund,71334,FinTech,Alternative lending,Consumer lending,Education Loans ,Others,Education Loans ,Alternative lending-Consumer lending-Education Loans ,"consumer lending, education, finance",Skills Fund is a student financing and quality assurance platform for outcomes-based skills training programs.,"Our goal is simple. We want to build the best financing tools for the best bootcamps and their students. We put together a team of leaders in student lending, higher education, and consumer protection that all see the great potential bootcamps bring to the learning community. Your students will benefit greatly from our approach, and so will your school."
Expansion Capital Group,expansionadvance.com,35797,FinTech,Alternative lending,Commercial Lending,Working Capital ,Working Capital ,Others,Alternative lending-Commercial Lending-Working Capital ,"financial services, fintech, small and medium businesses",ECG provides loans to small businesses in the U.S. which historically have been underserved by traditional financial institutions.,"Expansion Capital Group LLC (â€œECGâ€) provides loans to small businesses in the U.S. which have historically been underserved by traditional financial institutions and who may have experienced challenges obtaining affordable or timely financing. The Company has developed a technology platform using predictive modeling, data aggregation and electronic payment technology which enable it to service this target market. Traditional lenders generally focus on small business ownersâ€™ personal credit history while ECG focuses, not only on the small business ownersâ€™ personal credit history, but also on the performance of each of the small businesses using a broad array of traditional and nontraditional data sources. The Company has developed a proprietary end-to-end lending platform which includes an online based origination platform, a proprietary credit scoring model, and an automated collection platform that collects ACH payments from merchants."
FactorTrust,factortrust.com,87244,FinTech,Alternative lending,Credit rating platforms,0,Others,Credit rating platforms,Alternative lending-Credit rating platforms-0,"credit, finance, financial services",An alternative credit bureau based in Atlanta,"FactorTrust, The Alternative Credit Bureau, helps lenders manage the credit lifecycle of underbanked consumers using unique alternative credit information not available from the Big Three bureaus, enabling them to offer non-prime consumers the credit they deserve.
Leveraging the companyâ€™s credit information, lenders can more accurately predict future borrowing behavior, credit performance and risk scoring for this growing segment. FactorTrustâ€™s team of predictive analytics specialists, statisticians and financial industry experts has delivered unique data and valuable insight to lenders throughout the U.S. and the U.K. for nearly ten years."
Loanbaba.com,loanbaba.com,39936,FinTech,Alternative lending,Lead generation platform,0,Lead generation platform,Others,Alternative lending-Lead generation platform-0,"financial services, fintech",Loanbaba.com is a operates consumer lending marketplace,"Based in Mumbai, India, Loanbaba.com operates a consumer lending marketplace for home, personal, car, and business loans. Users can find and compare packages and rates from partner banks before selecting one for themselves. They can also get their applications processed faster by adding salary slips and income tax returns sheets. Founded in 2014, LoanBaba.com has raised $320,000 in an angel round of funding which will be used for technology enhancement and marketing."
ModernLend,modernlend.com,40952,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Alternative lending-Consumer lending-Personal loans,"consumer lending, credit cards, finance, financial services, fintech, lending",Online lender using alternative data metrics to lend to creditworthy international citizens,"ModernLend provides credit cards to international students and workers in the U.S. By understanding your education, employment and financial background, we can determine your creditworthiness without requiring SSN or FICO credit score. We will launch the first credit card tailored for international citizens in Summer 2016. 
We were founded at Wharton Business School, bring 10+ years experience from Goldman Sachs and Wells Fargo, and are Seed Stage funded. We are a portfolio company in Entrepreneurs Roundtable Accelerator and won BBVA Bankâ€™s Global FinTech Competition (out of 650 startups). Learn more at www.ModernLend.com."
LendEDU.com,lendedu.com,39688,FinTech,Alternative lending,Lead generation platform,0,Lead generation platform,Others,Alternative lending-Lead generation platform-0,"fintech, real time",LendEDU helps consumers compare personal finance products.,"LendEDU.com is an online marketplace for personal finance products. LendEDU.com launched in November 2014 as a marketplace for student loan refinancing. Since then, the company has expanded into other products including student loans, personal loans, bank products, insurance products, investing products, auto loans, and credit cards. 
LendEDU.com is a free service for consumers."
Lenda,lenda.com,63059,FinTech,Alternative lending,Consumer lending,Mortgages,Others,Mortgages,Alternative lending-Consumer lending-Mortgages,"finance, real estate",Lenda is an online platform that enables individuals to refinance their home loans online.,"Lenda (formerly Gorefi) is an online platform that enables individuals to refinance their home loans online. Users have to get real time quotes, submit their applications, verify and upload their documents, and close their loans.
Lenda was founded by Jason van den Brand and Elijah Murray in 2011."
KountMoney,kountmoney.com,62630,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Alternative lending-Consumer lending-Personal loans,"banking, financial services",KountMoney is a website where users can apply for loans for a variety of reasons.,KountMoney is an online platform that connects creditworthy borrowers across India to institutional lenders. The borrowers are salaried employees who are looking for unsecured loans at lower interest rate and quick disbursal.
Tienda Pago,tiendapago.com,47097,FinTech,Alternative lending,Commercial Lending,Working Capital ,Working Capital ,Others,Alternative lending-Commercial Lending-Working Capital ,fintech,Digital platform that lets small retailers in emerging markets finance consumer goods and enables a mobile cashless payments.,#N/A
Quick.me,quick.me,43668,FinTech,Alternative lending,Commercial Lending,Working Capital ,Working Capital ,Others,Alternative lending-Commercial Lending-Working Capital ,"financial services, fintech, lending, small and medium businesses",Quick provides working capital to small businesses exclusively through partnerships with SaaS/POS platforms.,"QUICK provides a capital-as-a-service offering to SaaS, ecommerce, marketplace and payment platforms, thereby making it easy and seamless for merchants on such platforms to apply and receive cash advances quickly.
Quick's intuitive widget enables small business owners to apply and receive working capital ""quickly."""
National Funding,nationalfunding.com,95748,FinTech,Alternative lending,Commercial Lending,Working Capital ,Working Capital ,Others,Alternative lending-Commercial Lending-Working Capital ,"finance, financial services, fintech","National Funding: the financial technology solution for businesses nationwide. We provide capital, financing, and other merchant services.","Founded in 1999, National Funding is one of the country's leading financial technology companies for small and medium-sized businesses, providing working capital loans, equipment financing, merchant cash advances and credit card processing.  National Funding has provided more than $1 billion in capital for over 20,000 businesses nationwide. The company believes in American small business owners, and strives to provide fast turnaround, flexible solutions and great service to all of its customers and clients in a diverse range of industries including: automotive, construction, excavation, manufacturing, retail, packaging, printing, restaurant, telecommunications, trucking, and waste management, among others. The company was recognized on the Inc. 500 | 5000 list for the past three years, as well as one of San Diego Business Journalâ€™s Fastest Growing Companies for the past three years."
